Team,Season,G,Month,Date,where,Opp,W_L,TmPts,OppPts,TeamFG,TeamFGA,FGPCT,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Chicago Bulls,1995-95,34,1996-01-15,1996-01-15,@,WSB,W,116,109,41,88,0.466,7,18,0.389,27,30,0.9,16,46,26,10,2,14,24
Chicago Bulls,1995-95,35,1996-01-16,1996-01-16,,PHI,W,116,104,50,94,0.532,7,21,0.333,9,17,0.529,23,52,33,9,2,13,17
Chicago Bulls,1995-95,36,1996-01-18,1996-01-18,@,TOR,W,92,89,34,78,0.436,10,21,0.476,14,26,0.538,17,38,17,4,4,13,11
Chicago Bulls,1995-95,37,1996-01-21,1996-01-21,@,DET,W,111,96,40,76,0.526,14,22,0.636,17,21,0.81,14,37,24,4,4,14,20
Chicago Bulls,1995-95,38,1996-01-23,1996-01-23,@,NYK,W,99,79,38,88,0.432,8,23,0.348,15,19,0.789,21,48,23,14,2,15,17
Chicago Bulls,1995-95,39,1996-01-24,1996-01-24,,VAN,W,104,84,42,86,0.488,7,15,0.467,13,19,0.684,16,46,31,7,3,15,25
Chicago Bulls,1995-95,40,1996-01-26,1996-01-26,,MIA,W,102,80,36,83,0.434,7,17,0.412,23,37,0.622,19,49,26,9,3,21,30
Chicago Bulls,1995-95,41,1996-01-28,1996-01-28,,PHO,W,93,82,35,83,0.422,6,19,0.316,17,25,0.68,21,50,26,9,8,20,23
Chicago Bulls,1995-95,42,1996-01-30,1996-01-30,@,HOU,W,98,87,32,79,0.405,12,27,0.444,22,28,0.786,21,51,14,11,0,21,20
Chicago Bulls,1995-95,43,1996-02-01,1996-02-01,@,SAC,W,105,85,37,73,0.507,7,13,0.538,24,28,0.857,13,40,23,12,4,16,18
Chicago Bulls,1995-95,44,1996-02-02,1996-02-02,@,LAL,W,99,84,45,82,0.549,6,15,0.4,3,9,0.333,15,43,29,8,6,14,19
Chicago Bulls,1995-95,45,1996-02-04,1996-02-04,@,DEN,L,99,105,37,93,0.398,7,23,0.304,18,22,0.818,12,39,26,8,4,7,22
Chicago Bulls,1995-95,46,1996-02-06,1996-02-06,@,PHO,L,96,106,37,84,0.44,1,12,0.083,21,32,0.656,12,34,28,13,4,10,28
Chicago Bulls,1995-95,47,1996-02-07,1996-02-07,@,GSW,W,99,95,38,84,0.452,4,13,0.308,19,27,0.704,20,42,26,10,3,11,23
Chicago Bulls,1995-95,48,1996-02-13,1996-02-13,,WSB,W,111,98,39,74,0.527,8,14,0.571,25,32,0.781,12,44,22,8,3,17,22
Chicago Bulls,1995-95,49,1996-02-15,1996-02-15,@,DET,W,112,109,39,98,0.398,9,20,0.45,25,33,0.758,20,47,19,11,4,10,27
Chicago Bulls,1995-95,50,1996-02-16,1996-02-16,@,MIN,W,103,100,39,79,0.494,12,24,0.5,13,16,0.813,14,43,27,6,2,14,20
